<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.04.15	02:56:00	18076.6	18082.4	18076.6	18081.5	97	0	20
2024.04.15	02:57:00	18081.6	18085.8	18081.5	18083.3	86	0	20
2024.04.15	02:58:00	18083.4	18084.0	18081.6	18082.6	64	0	20
2024.04.15	02:59:00	18082.7	18083.5	18080.5	18081.8	66	0	18
2024.04.15	03:00:00	18081.9	18091.2	18081.9	18082.8	210	0	18
2024.04.15	03:01:00	18083.0	18085.6	18079.4	18080.3	150	0	18
2024.04.15	03:02:00	18080.1	18084.5	18077.9	18080.3	177	0	18
2024.04.15	03:03:00	18081.1	18083.1	18078.8	18080.8	100	0	23
2024.04.15	03:04:00	18080.9	18084.4	18064.0	18077.8	212	0	18
2024.04.15	03:05:00	18077.6	18078.6	18073.5	18073.6	166	0	20
2024.04.15	03:06:00	18073.8	18075.8	18073.2	18075.6	135	0	18
2024.04.15	03:07:00	18075.8	18077.1	18073.6	18076.3	88	0	20
2024.04.15	03:08:00	18076.4	18081.7	18075.5	18081.6	102	0	20
2024.04.15	03:09:00	18081.5	18083.0	18078.9	18079.3	91	0	20
2024.04.15	03:10:00	18079.5	18080.4	18077.0	18077.6	104	0	18
2024.04.15	03:11:00	18077.8	18079.0	18074.5	18076.5	79	0	18
2024.04.15	03:12:00	18076.4	18077.5	18072.3	18072.3	100	0	20
2024.04.15	03:13:00	18072.4	18075.9	18069.9	18073.0	103	0	18
2024.04.15	03:14:00	18073.4	18075.3	18070.5	18074.0	110	0	18
2024.04.15	03:15:00	18073.1	18073.1	18066.6	18067.0	167	0	18
2024.04.15	03:16:00	18067.6	18072.4	18066.2	18071.5	143	0	20
2024.04.15	03:17:00	18071.4	18073.0	18065.7	18066.5	150	0	18
2024.04.15	03:18:00	18066.2	18067.1	18062.1	18063.4	145	0	20
2024.04.15	03:19:00	18063.8	18065.1	18039.5	18043.1	330	0	18
2024.04.15	03:20:00	18043.6	18051.0	18038.0	18040.1	282	0	18
2024.04.15	03:21:00	18040.3	18049.0	18036.9	18046.0	233	0	18
2024.04.15	03:22:00	18046.4	18051.6	18045.5	18051.6	140	0	18
2024.04.15	03:23:00	18051.3	18055.9	18048.9	18055.0	126	0	18
2024.04.15	03:24:00	18055.4	18060.3	18052.0	18059.9	143	0	18
2024.04.15	03:25:00	18060.2	18063.5	18058.9	18063.1	154	0	18
2024.04.15	03:26:00	18065.3	18071.4	18064.6	18069.9	181	0	20
2024.04.15	03:27:00	18069.8	18074.0	18067.6	18072.9	133	0	18
2024.04.15	03:28:00	18073.0	18076.6	18070.8	18075.4	112	0	18
2024.04.15	03:29:00	18075.2	18076.0	18073.0	18074.5	109	0	18
2024.04.15	03:30:00	18076.1	18077.3	18067.5	18072.4	146	0	18
2024.04.15	03:31:00	18072.0	18073.4	18069.6	18070.6	90	0	20
2024.04.15	03:32:00	18071.5	18072.6	18068.7	18069.1	113	0	20
2024.04.15	03:33:00	18069.5	18072.4	18068.9	18071.5	118	0	20
2024.04.15	03:34:00	18071.6	18071.9	18066.9	18068.3	83	0	18
2024.04.15	03:35:00	18068.4	18070.9	18066.6	18067.3	90	0	20
2024.04.15	03:36:00	18067.2	18070.4	18067.1	18068.0	84	0	18
2024.04.15	03:37:00	18067.9	18072.8	18067.4	18070.8	67	0	20
2024.04.15	03:38:00	18070.6	18071.6	18065.1	18065.8	113	0	18
2024.04.15	03:39:00	18065.9	18068.0	18065.4	18067.1	68	0	18
2024.04.15	03:40:00	18067.3	18072.9	18066.5	18072.9	85	0	18
2024.04.15	03:41:00	18072.7	18082.4	18071.9	18081.4	159	0	18
2024.04.15	03:42:00	18081.5	18082.0	18077.8	18079.1	114	0	20
2024.04.15	03:43:00	18078.8	18079.9	18076.6	18078.4	73	0	18
2024.04.15	03:44:00	18078.0	18078.5	18073.0	18075.0	72	0	18
2024.04.15	03:45:00	18075.1	18077.4	18072.3	18074.0	101	0	18
2024.04.15	03:46:00	18073.6	18074.0	18071.5	18072.5	96	0	20
2024.04.15	03:47:00	18071.3	18073.4	18070.6	18072.9	73	0	18
2024.04.15	03:48:00	18073.0	18076.1	18071.4	18074.6	87	0	20
2024.04.15	03:49:00	18075.0	18076.0	18070.9	18071.5	90	0	20
2024.04.15	03:50:00	18071.4	18073.0	18068.4	18072.9	95	0	18
2024.04.15	03:51:00	18072.8	18072.8	18060.5	18061.0	137	0	18
2024.04.15	03:52:00	18061.4	18070.4	18060.5	18069.7	97	0	18
2024.04.15	03:53:00	18069.6	18069.6	18066.3	18069.4	66	0	20
2024.04.15	03:54:00	18069.5	18071.0	18068.4	18070.5	81	0	20
2024.04.15	03:55:00	18069.9	18073.1	18069.5	18069.9	74	0	20
2024.04.15	03:56:00	18069.7	18071.4	18064.5	18064.6	98	0	18
2024.04.15	03:57:00	18064.8	18067.4	18061.5	18065.3	101	0	20
2024.04.15	03:58:00	18065.1	18067.5	18064.9	18065.3	69	0	20
2024.04.15	03:59:00	18065.1	18067.9	18064.0	18067.9	74	0	18
2024.04.15	04:00:00	18067.8	18069.6	18065.0	18066.0	127	0	18
2024.04.15	04:01:00	18066.1	18068.4	18065.5	18068.3	96	0	20
2024.04.15	04:02:00	18068.4	18068.5	18065.5	18065.6	68	0	20
2024.04.15	04:03:00	18066.3	18071.0	18064.0	18065.0	81	0	20
2024.04.15	04:04:00	18065.1	18070.4	18064.8	18069.9	104	0	20
2024.04.15	04:05:00	18069.8	18069.9	18065.1	18066.6	107	0	20
2024.04.15	04:06:00	18066.3	18068.1	18063.9	18066.4	96	0	18
2024.04.15	04:07:00	18065.5	18066.5	18065.1	18065.1	49	0	18
2024.04.15	04:08:00	18065.2	18065.2	18061.5	18063.8	90	0	18
2024.04.15	04:09:00	18063.9	18065.4	18055.6	18059.0	117	0	18
2024.04.15	04:10:00	18059.1	18060.6	18056.8	18058.3	113	0	20
2024.04.15	04:11:00	18058.5	18059.1	18055.3	18057.5	95	0	18
2024.04.15	04:12:00	18057.6	18057.9	18053.1	18055.0	133	0	18
2024.04.15	04:13:00	18055.6	18057.1	18054.7	18055.0	87	0	20
2024.04.15	04:14:00	18054.9	18056.8	18051.3	18053.3	122	0	20
2024.04.15	04:15:00	18054.0	18054.5	18038.9	18048.9	311	0	18
2024.04.15	04:16:00	18048.5	18052.1	18043.8	18046.0	209	0	20
2024.04.15	04:17:00	18046.1	18050.5	18041.8	18047.4	156	0	18
2024.04.15	04:18:00	18048.3	18051.3	18047.3	18048.8	128	0	20
2024.04.15	04:19:00	18049.0	18049.1	18044.7	18046.4	105	0	18
2024.04.15	04:20:00	18046.9	18053.8	18046.5	18052.6	156	0	18
2024.04.15	04:21:00	18052.5	18057.0	18049.2	18051.5	148	0	18
2024.04.15	04:22:00	18051.6	18053.4	18050.5	18052.5	98	0	18
2024.04.15	04:23:00	18052.6	18053.5	18051.0	18051.6	109	0	20
2024.04.15	04:24:00	18052.3	18055.4	18052.1	18052.3	98	0	20
2024.04.15	04:25:00	18052.8	18056.1	18051.4	18051.4	118	0	20
2024.04.15	04:26:00	18051.2	18055.4	18050.9	18054.4	76	0	20
2024.04.15	04:27:00	18053.5	18055.1	18051.9	18052.0	66	0	20
2024.04.15	04:28:00	18052.1	18054.5	18049.8	18050.4	74	0	20
2024.04.15	04:29:00	18050.3	18057.2	18050.3	18056.5	94	0	18
2024.04.15	04:30:00	18056.4	18059.0	18053.7	18055.1	154	0	20
2024.04.15	04:31:00	18056.1	18057.4	18053.8	18054.1	120	0	20
2024.04.15	04:32:00	18054.0	18056.0	18052.9	18053.3	86	0	20
2024.04.15	04:33:00	18053.1	18055.7	18050.6	18055.7	116	0	20
2024.04.15	04:34:00	18055.9	18062.0	18054.8	18061.4	160	0	18
2024.04.15	04:35:00	18060.8	18061.0	18057.9	18058.4	138	0	18
2024.04.15	04:36:00	18059.4	18060.1	18055.1	18056.9	113	0	20
2024.04.15	04:37:00	18056.7	18059.1	18056.0	18056.6	102	0	20
2024.04.15	04:38:00	18057.8	18058.4	18056.5	18058.3	90	0	18
2024.04.15	04:39:00	18058.4	18059.8	18057.1	18058.5	81	0	20
2024.04.15	04:40:00	18058.4	18059.8	18056.6	18056.8	84	0	20
2024.04.15	04:41:00	18056.6	18058.0	18052.9	18057.6	119	0	18
2024.04.15	04:42:00	18057.8	18060.6	18057.6	18057.9	83	0	18
2024.04.15	04:43:00	18058.5	18060.2	18056.9	18059.9	73	0	18
2024.04.15	04:44:00	18060.7	18061.1	18056.4	18057.4	84	0	20
2024.04.15	04:45:00	18057.5	18058.9	18053.5	18055.1	96	0	20
2024.04.15	04:46:00	18055.2	18055.5	18051.5	18052.6	92	0	18
2024.04.15	04:47:00	18052.5	18052.6	18050.1	18050.5	88	0	20
2024.04.15	04:48:00	18050.4	18055.2	18050.0	18054.6	110	0	20
2024.04.15	04:49:00	18055.0	18059.5	18055.0	18059.0	122	0	18
2024.04.15	04:50:00	18059.1	18062.8	18059.0	18062.6	115	0	18
2024.04.15	04:51:00	18063.0	18070.1	18062.9	18068.4	147	0	18
2024.04.15	04:52:00	18068.3	18068.9	18064.7	18067.7	122	0	18
2024.04.15	04:53:00	18067.9	18071.0	18067.7	18071.0	121	0	18
2024.04.15	04:54:00	18070.9	18072.0	18067.5	18068.8	113	0	18
2024.04.15	04:55:00	18068.6	18070.0	18066.7	18068.4	100	0	18
2024.04.15	04:56:00	18068.0	18070.8	18067.6	18068.1	79	0	18
2024.04.15	04:57:00	18068.6	18069.4	18066.6	18068.1	84	0	18
2024.04.15	04:58:00	18068.3	18068.9	18067.5	18068.1	61	0	20
2024.04.15	04:59:00	18068.3	18068.3	18065.7	18066.1	70	0	20
2024.04.15	05:00:00	18066.2	18069.4	18066.0	18067.4	111	0	20
2024.04.15	05:01:00	18067.5	18071.1	18067.1	18069.1	114	0	18
